date,nsa_mfg_ship_c,nsa_mfg_new_orders_c,nsa_mfg_bk_logs_c,nsa_mfg_cap_util_c,nsa_mfg_vend_lead_c,nsa_mfg_emp_c,nsa_mfg_workwk_c,nsa_mfg_wage_c,nsa_mfg_fd_gds_inv_c,nsa_mfg_raw_mats_inv_c,nsa_mfg_pct_chg_prcs_recd_c,nsa_mfg_pct_chg_prcs_pd_c,sa_mfg_composite,sa_mfg_ship_c,sa_mfg_new_orders_c,sa_mfg_bk_logs_c,sa_mfg_cap_util_c,sa_mfg_vend_lead_c,sa_mfg_emp_c,sa_mfg_workwk_c,sa_mfg_wage_c,sa_mfg_fd_gds_inv_c,sa_mfg_raw_mats_inv_c,sa_mfg_pct_chg_prcs_recd_c,sa_mfg_pct_chg_prcs_pd_c,nsa_mfg_ship_e,nsa_mfg_new_orders_e,nsa_mfg_bk_logs_e,nsa_mfg_cap_util_e,nsa_mfg_vend_lead_e,nsa_mfg_emp_e,nsa_mfg_workwk_e,nsa_mfg_wage_e,nsa_mfg_capital_expnd_e,nsa_mfg_pct_chg_prcs_recd_e,nsa_mfg_pct_chg_prcs_pd_e,sa_mfg_ship_e,sa_mfg_new_orders_e,sa_mfg_bk_logs_e,sa_mfg_cap_util_e,sa_mfg_vend_lead_e,sa_mfg_emp_e,sa_mfg_workwk_e,sa_mfg_wage_e,sa_mfg_capital_expnd_e,sa_mfg_pct_chg_prcs_recd_e,sa_mfg_pct_chg_prcs_pd_e,sa_mfg_local_bus_cond_c,sa_mfg_nec_skls_avail_e,sa_mfg_local_bus_cond_e,sa_mfg_nec_skls_avail_c,sa_mfg_equip_sftw_expnd_e,sa_mfg_bus_svcs_expnd_e,sa_mfg_equip_sftw_expnd_c,sa_mfg_capital_expnd_c,sa_mfg_bus_svcs_expnd_c,sa_mfg_fd_gds_inv_e,sa_mfg_raw_mats_inv_e,nsa_mfg_nec_skls_avail_e,nsa_mfg_equip_sftw_expnd_e,nsa_mfg_bus_svcs_expnd_e,nsa_mfg_local_bus_cond_c,nsa_mfg_nec_skls_avail_c,nsa_mfg_equip_sftw_expnd_c,nsa_mfg_local_bus_cond_e,nsa_mfg_capital_expnd_c,nsa_mfg_bus_svcs_expnd_c,nsa_mfg_fd_gds_inv_e,nsa_mfg_raw_mats_inv_e
7/1/95,-19,-17,-26,#N/A,#N/A,-4,-13,#N/A,#N/A,#N/A,#N/A,#N/A,-10,-7,-14,-29,#N/A,#N/A,-6,-13,#N/A,#N/A,#N/A,#N/A,#N/A,25,#N/A,#N/A,#N/A,#N/A,6,-1,#N/A,#N/A,#N/A,#N/A,32,#N/A,#N/A,#N/A,#N/A,8,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/1/95,5,-8,-21,#N/A,#N/A,-3,-4,#N/A,#N/A,#N/A,#N/A,#N/A,-7,-3,-11,-19,#N/A,#N/A,-5,-8,#N/A,#N/A,#N/A,#N/A,#N/A,27,#N/A,#N/A,#N/A,#N/A,2,5,#N/A,#N/A,#N/A,#N/A,34,#N/A,#N/A,#N/A,#N/A,6,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/1/95,5,-4,-12,#N/A,#N/A,-7,-2,#N/A,#N/A,#N/A,#N/A,#N/A,-5,0,-7,-15,#N/A,#N/A,-9,-8,#N/A,#N/A,#N/A,#N/A,#N/A,33,#N/A,#N/A,#N/A,#N/A,2,12,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,2,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/1/95,-9,-10,-13,#N/A,#N/A,-6,-5,#N/A,#N/A,#N/A,#N/A,#N/A,-8,-8,-9,-13,#N/A,#N/A,-6,-8,#N/A,#N/A,#N/A,#N/A,#N/A,27,#N/A,#N/A,#N/A,#N/A,-7,9,#N/A,#N/A,#N/A,#N/A,30,#N/A,#N/A,#N/A,#N/A,-5,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/1/95,6,-3,-14,#N/A,#N/A,-9,-2,#N/A,#N/A,#N/A,#N/A,#N/A,-3,2,-4,-15,#N/A,#N/A,-9,-3,#N/A,#N/A,#N/A,#N/A,#N/A,34,#N/A,#N/A,#N/A,#N/A,1,11,#N/A,#N/A,#N/A,#N/A,34,#N/A,#N/A,#N/A,#N/A,-2,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/95,-18,-14,-16,#N/A,#N/A,-13,-18,#N/A,#N/A,#N/A,#N/A,#N/A,-8,-8,-8,-12,#N/A,#N/A,-9,-9,#N/A,#N/A,#N/A,#N/A,#N/A,37,#N/A,#N/A,#N/A,#N/A,5,6,#N/A,#N/A,#N/A,#N/A,36,#N/A,#N/A,#N/A,#N/A,2,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/1/96,-20,-20,-15,#N/A,#N/A,-9,-19,#N/A,#N/A,#N/A,#N/A,#N/A,-10,-9,-13,-13,#N/A,#N/A,-5,-14,#N/A,#N/A,#N/A,#N/A,#N/A,38,#N/A,#N/A,#N/A,#N/A,7,13,#N/A,#N/A,#N/A,#N/A,34,#N/A,#N/A,#N/A,#N/A,3,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/1/96,-6,-3,-8,#N/A,#N/A,-10,-7,#N/A,#N/A,#N/A,#N/A,#N/A,-4,-2,-3,-9,#N/A,#N/A,-8,-9,#N/A,#N/A,#N/A,#N/A,#N/A,42,#N/A,#N/A,#N/A,#N/A,11,21,#N/A,#N/A,#N/A,#N/A,37,#N/A,#N/A,#N/A,#N/A,4,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/1/96,-20,-20,-15,#N/A,#N/A,-9,-19,#N/A,#N/A,#N/A,#N/A,#N/A,-23,-31,-26,-17,#N/A,#N/A,-8,-20,#N/A,#N/A,#N/A,#N/A,#N/A,38,#N/A,#N/A,#N/A,#N/A,7,13,#N/A,#N/A,#N/A,#N/A,34,#N/A,#N/A,#N/A,#N/A,7,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/1/96,-4,5,-3,#N/A,#N/A,-6,-4,#N/A,#N/A,#N/A,#N/A,#N/A,-3,-5,0,-6,#N/A,#N/A,-6,-5,#N/A,#N/A,#N/A,#N/A,#N/A,41,#N/A,#N/A,#N/A,#N/A,-1,12,#N/A,#N/A,#N/A,#N/A,35,#N/A,#N/A,#N/A,#N/A,2,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/1/96,12,8,-13,#N/A,#N/A,0,-1,#N/A,#N/A,#N/A,#N/A,#N/A,5,8,7,-14,#N/A,#N/A,-2,-3,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,6,12,#N/A,#N/A,#N/A,#N/A,33,#N/A,#N/A,#N/A,#N/A,9,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/96,12,5,-6,#N/A,#N/A,2,-1,#N/A,#N/A,#N/A,#N/A,#N/A,4,6,6,-1,#N/A,#N/A,-1,2,#N/A,#N/A,#N/A,#N/A,#N/A,35,#N/A,#N/A,#N/A,#N/A,-1,4,#N/A,#N/A,#N/A,#N/A,37,#N/A,#N/A,#N/A,#N/A,1,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/1/96,-7,-1,-6,#N/A,1,4,-1,#N/A,#N/A,#N/A,#N/A,#N/A,5,7,5,-6,#N/A,2,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,28,#N/A,#N/A,#N/A,#N/A,-2,8,#N/A,#N/A,#N/A,#N/A,34,#N/A,#N/A,#N/A,#N/A,0,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/1/96,17,15,2,#N/A,-6,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,6,6,9,1,#N/A,-6,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,22,#N/A,#N/A,#N/A,#N/A,-6,-7,#N/A,#N/A,#N/A,#N/A,30,#N/A,#N/A,#N/A,#N/A,-1,-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
